"","FIPS","BWD","AWD","HWD","NWWD","BWI","AWI","HWI","NWWI","H"
"953","31079",0.501478796117336,0.380057253848716,0.387235268432709,0.360750044967566,0.608388846218733,0.611176816562922,0.553633792307032,0.564904734830683,0.12461847080603
"954","31093",0.0100195822454308,0.424305296531145,0.259305571128802,0.196554812218237,0.955752769936307,0.973082039224648,0.944487095190576,0.947111913671426,0.0375882055308891
"955","31099",0.00465657741559952,0.423914851155829,0.427304661039293,0.262131660472078,0.922208889301341,0.955322669608384,0.889552779128623,0.902314951519978,0.0933874319401639
"956","31109",0.453167136196335,0.435017448540324,0.363060559080666,0.328734286165843,0.705366121569566,0.719667495835336,0.72352571225277,0.728225603263749,0.111230754031401
"957","31111",0.421566752039562,0.64915510392688,0.245048511395224,0.188823445425907,0.849249845530457,0.844565379398495,0.852269542756471,0.85459069473372,0.0786816082294304
"958","31113",0,0,0,0,0,0,0.943905070118662,0.943905070118662,0
"959","31117",0,0,0,0,0,0,0.984810126582279,0.984810126582279,0
"960","31119",0.370790294061025,0.408306796502314,0.290613060903152,0.22071664084535,0.804938448592646,0.805286536779627,0.741993140047287,0.758193768263327,0.0859349715640861
"961","31121",0.584581253466445,0.621121659978467,0.117046247340075,0.13748227735723,0.902409638554217,0.933118887648993,0.921244274738369,0.919166772612903,0.0502238687228683
"962","31139",0.014410480349345,0.547743813682678,0.241247012005395,0.0580956023757158,0.961790184272654,0.966407465007776,0.959576854745956,0.961162470012131,0.0353053295186034
"963","31141",0.472035878317335,0.278893231025348,0.277539326789089,0.255765959835817,0.715244647384346,0.832174816268997,0.721615403785963,0.727025104630511,0.0897554229868565
"964","31153",0.387805173608779,0.310629203900306,0.35462616598173,0.271402056762801,0.747100403581043,0.784044251122521,0.738499655035192,0.754394554710468,0.0845587802955598
"965","31155",0.441693437006402,0.370437657223679,0.138906187680617,0.0675183555572742,0.950495696840758,0.951353713368595,0.950229712357973,0.951233515737351,0.0259827317499353
"966","31157",0.345859885517451,0.390562330705847,0.273310954236935,0.26234679750356,0.684215671717626,0.717040607015873,0.654297052676244,0.658979397393152,0.0678332336322461
